Dataset,Epochs,Attention Type,Optimizer,Window Size,GPU Memory Usage,Training Time,samples/sec,test_loss,Test Accuracy,path_to_train_results,path_to_val_results,Test Error,"Cost Function (0.25, 0.75)","Cost Function (0.5, 0.5)","Cost Function (0.75, 0.25)"
emotion,7,sliding,Adam,128,0.1236850847082272,289.5626,242.421,0.11474941670894623,0.9808219178082189,results\emotion-epochs_7\sliding\adam\att_win_size_128\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_128\val_losses.csv,0.019178082191781076,0.04530483282089261,0.07143158345000414,0.09755833407911567
emotion,7,sliding,Adam,16,0.05713652973092681,263.7738,266.122,0.16303004324436188,0.9452054794520546,results\emotion-epochs_7\sliding\adam\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_16\val_losses.csv,0.054794520547945424,0.05538002284369077,0.05596552513943612,0.056551027435181464
emotion,7,sliding,Adam,256,0.32421658731037534,563.7007,124.527,0.11917062848806381,0.9753424657534246,results\emotion-epochs_7\sliding\adam\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_256\val_losses.csv,0.024657534246575352,0.09954729751252535,0.17443706077847534,0.24932682404442535
emotion,7,sliding,Adam,32,0.0841545786734581,265.3785,264.513,0.1239754855632782,0.9753424657534246,results\emotion-epochs_7\sliding\adam\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_32\val_losses.csv,0.024657534246575352,0.03953179535329604,0.05440605646001673,0.06928031756673741
emotion,7,sliding,Adam,512,0.9265862030782861,1572.5885,44.637,0.11084037274122238,0.9835616438356163,results\emotion-epochs_7\sliding\adam\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_512\val_losses.csv,0.016438356164383716,0.2439753178928593,0.4715122796213349,0.6990492413498105
emotion,7,sliding,Adam,64,0.12169194995017163,262.1527,267.768,0.15187318623065948,0.9671232876712326,results\emotion-epochs_7\sliding\adam\att_win_size_64\train_losses.csv,results\emotion-epochs_7\sliding\adam\att_win_size_64\val_losses.csv,0.03287671232876743,0.05508052173411848,0.07728433113946953,0.09948814054482058
emotion,7,sliding,AdamW,128,0.15856494297419998,294.3431,238.484,0.11782566457986832,0.9780821917808216,results\emotion-epochs_7\sliding\adamw\att_win_size_128\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_128\val_losses.csv,0.021917808219178436,0.05607959190793382,0.09024137559668921,0.1244031592854446
emotion,7,sliding,AdamW,16,0.08592625401395193,263.145,266.758,0.1264272779226303,0.9726027397260273,results\emotion-epochs_7\sliding\adamw\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_16\val_losses.csv,0.027397260273972712,0.04202950870896752,0.05666175714396232,0.07129400557895713
emotion,7,sliding,AdamW,256,0.3561067434392648,563.0734,124.666,0.11418209224939346,0.989041095890411,results\emotion-epochs_7\sliding\adamw\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_256\val_losses.csv,0.010958904109588996,0.09724586394200795,0.1835328237744269,0.26981978360684583
emotion,7,sliding,AdamW,32,0.1033108182925479,264.4264,265.465,0.13268136978149414,0.9780821917808216,results\emotion-epochs_7\sliding\adamw\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_32\val_losses.csv,0.021917808219178436,0.0422660607375208,0.06261431325586317,0.08296256577420554
emotion,7,sliding,AdamW,512,0.9265862030782861,1589.2965,44.168,0.10302742570638657,0.9972602739726022,results\emotion-epochs_7\sliding\adamw\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_512\val_losses.csv,0.002739726027397804,0.23370134529011988,0.46466296455284195,0.695624583815564
emotion,7,sliding,AdamW,64,0.14195548665707008,263.2155,266.686,0.1455933302640915,0.9534246575342462,results\emotion-epochs_7\sliding\adamw\att_win_size_64\train_losses.csv,results\emotion-epochs_7\sliding\adamw\att_win_size_64\val_losses.csv,0.04657534246575379,0.07042037851358286,0.09426541456141194,0.11811045060924101
emotion,7,sliding,SGD,128,0.06865241944413686,268.1058,261.822,0.4455019235610962,0.32876712328767077,results\emotion-epochs_7\sliding\sgd\att_win_size_128\train_losses.csv,results\emotion-epochs_7\sliding\sgd\att_win_size_128\val_losses.csv,0.6712328767123292,0.5205877623952812,0.36994264807823307,0.21929753376118494
emotion,7,sliding,SGD,16,0.0,243.4337,288.358,0.5966441035270691,0.0,results\emotion-epochs_7\sliding\sgd\att_win_size_16\train_losses.csv,results\emotion-epochs_7\sliding\sgd\att_win_size_16\val_losses.csv,1.0,0.75,0.5,0.25
emotion,7,sliding,SGD,256,0.27472040748532833,539.6874,130.068,0.45435860753059387,0.3232876712328765,results\emotion-epochs_7\sliding\sgd\att_win_size_256\train_losses.csv,results\emotion-epochs_7\sliding\sgd\att_win_size_256\val_losses.csv,0.6767123287671235,0.5762143484466747,0.4757163681262259,0.3752183878057771
emotion,7,sliding,SGD,32,0.02203521204739231,240.4977,291.878,0.4982023239135742,0.17534246575342483,results\emotion-epochs_7\sliding\sgd\att_win_size_32\train_losses.csv,results\emotion-epochs_7\sliding\sgd\att_win_size_32\val_losses.csv,0.8246575342465752,0.6240019536967795,0.42334637314698376,0.22269079259718802
emotion,7,sliding,SGD,512,0.9051046395747979,1550.0993,45.285,0.42905041575431824,0.3616438356164382,results\emotion-epochs_7\sliding\sgd\att_win_size_512\train_losses.csv,results\emotion-epochs_7\sliding\sgd\att_win_size_512\val_losses.csv,0.6383561643835618,0.7050432831813709,0.7717304019791799,0.8384175207769888
